CoreName,Latitude,Longitude,WaterDepth,ProxyValue,ProxyType,SSTLower2s,SSTMedian,SSTUpper2s,Species,Cleaning,Reference
md03-2611,-36.73,136.55,2420,0.650200009,uk,14.90724058,17.66692091,20.47331266,,NaN,https://doi.org/10.1029/2007GL029937
geob7702-3,31.652,34.0667,562,0.777769208,uk,18.74037062,21.53552871,24.5111182,,NaN,https://doi.org/10.1029/2009PA001740
nap_63-1,-24.8384,-44.318733,842,0.839999974,uk,20.62347701,23.54590199,27.15637754,,NaN,https://doi.org/10.1016/j.quascirev.2019.04.020
me0005a-27jc,-1.853333333,-82.78666667,2203,0.863999963,uk,21.42065945,24.37581962,28.49861843,,NaN,https://doi.org/10.1029/2009PA001781
m25_4_kl-11,36.74583333,17.7175,3376,0.698564649,uk,16.36138429,19.12582928,21.96435006,,NaN,https://doi.org/10.1016/S0031-0182(00)00053-5
iow225514,57.838,8.704,420,0.418549985,uk,8.04284654,10.79429027,13.5639614,,NaN,https://doi.org/10.1191/0959683603hl634rp
iow225517,57.667,7.091,293,0.446204007,uk,8.863259079,11.58950162,14.41320345,,NaN,https://doi.org/10.1191/0959683603hl634rp
m39008-3,36.38,-7.071667,577,0.703175008,uk,16.47740087,19.25318316,22.11699032,,NaN,https://doi.org/10.1029/2009GC002398
md06-3075,6.476167,125.832,1878,0.97242856,uk,24.97843217,29.03464269,35.14815145,,NaN,https://doi.org/10.1002/2013PA002599
pc01,46.31666667,152.5333333,2793,0.319428533,uk,5.144204841,7.873620475,10.6285227,,NaN,https://doi.org/10.1002/2014PA002733
pc04,49.36666667,153.0166667,1821,0.280752301,uk,4.05670174,6.747164225,9.476165237,,NaN,https://doi.org/10.1029/2004GC000740
station_5_mc,40,165.0667,5498,0.551428556,uk,11.91789079,14.72861607,17.51450519,,NaN,https://doi.org/10.1029/2004GC000740
station_6_mc,37.75,162.43,3130,0.619333327,uk,13.95527159,16.757507,19.53528245,,NaN,https://doi.org/10.1029/2004GC000740
md01-2412,44.5275,145.004,1225,0.454936504,uk,9.077345932,11.84795392,14.66815678,,NaN,https://doi.org/10.1016/j.gloplacha.2006.01.010
scs90-36,17.995,111.494,2050,0.922749996,uk,23.31622074,26.74611148,32.18409632,,NaN,https://doi.org/10.1016/S0377-8398(97)00014-5
niop-c2_905_pc,10.7833,51.9333,1567,0.905722201,uk,22.75885482,26.02541054,31.16663626,,NaN,https://doi.org/10.1029/2005PA001215
so42-74kl,14.321,57.347,3212,0.938352942,uk,23.86569762,27.47940488,33.22602646,,NaN,https://doi.org/10.1029/2005PA001215
md98-2195,31.63883333,128.9438333,746,0.847948134,uk,20.85845485,23.81184061,27.56646463,,NaN,https://doi.org/10.1016/j.palaeo.2004.12.028
kh-79-3-l3,37.0583,134.71,935,0.666866601,uk,15.39366718,18.17363143,20.96908739,,NaN,https://doi.org/10.1016/S0146-6380(00)00151-0
md01-2421,36.033,141.783,2224,0.661249995,uk,15.23244278,18.01606871,20.81398811,,NaN,https://doi.org/10.1130/G25667A.1
geob7139-2,-30.2,-71.9835,3269,0.646385729,uk,14.77758812,17.55165458,20.31672172,,NaN,https://doi.org/10.1016/j.quascirev.2008.08.025
gik18287-3,5.663017,110.661483,598,0.965161502,uk,24.73328562,28.70844619,34.76882788,,NaN,https://doi.org/10.1126/science.1057131
geob1023-5,-17.157217,11.011667,1978,0.745823562,uk,17.7554597,20.54872119,23.41792586,,NaN,https://doi.org/10.1016/S0012-821X(01)00545-3
odp_175-1078c,-11.921,13.4,426,0.85944438,uk,21.26379279,24.23317157,28.27910808,,NaN,https://doi.org/10.1029/2003GL017557
geob5901-2,36.38,-7.07133,574,0.696389914,uk,16.25609998,19.06523249,21.88050788,,NaN,https://doi.org/10.1016/j.quascirev.2004.08.010
ssdp-102,34.953,128.881,40,0.785815179,uk,18.95605478,21.78123751,24.79485888,,NaN,https://doi.org/10.1016/j.quascirev.2004.08.010
geob7926-2,20.2133,-18.4517,2500,0.734555542,uk,17.41027072,20.22119035,23.0750388,,NaN,https://doi.org/10.1016/j.epsl.2012.05.018
geob1711-4,-23.315,12.376667,1967,0.690800011,uk,16.12601537,18.90777975,21.75015363,,NaN,https://doi.org/10.1006/qres.1999.2040
vm19-27,-0.46667,-82.06667,1373,0.917457104,uk,23.16985665,26.53113828,32.00593205,,NaN,https://doi.org/10.1029/2003PA000894
vm21-30,-1.217,-89.683,617,0.879750013,uk,21.87572303,24.94646233,29.50319151,,NaN,https://doi.org/10.1029/2008PA001593
vm19-30,-3.383,-83.52,3091,0.805549979,uk,19.58103532,22.40877699,25.55584954,,NaN,https://doi.org/10.1029/2008PA001593
vm19-28,-2.3667,-84.65,2720,0.847333372,uk,20.83638919,23.77133803,27.47717151,,NaN,https://doi.org/10.1029/2012PA002378
md99-2269,66.641333,-20.863167,365,0.36831665,uk,6.584997546,9.319867051,12.03404701,,NaN,https://doi.org/10.1177/0959683616652703
geob33131,-41,-74.45,852,0.554498792,uk,12.05850266,14.8319194,17.62205716,,NaN,https://doi.org/10.1029/2001PA000727
odp_202-1233,-41.00008,-74.44986,838,0.50999999,uk,10.73672069,13.50589959,16.28130849,,NaN,https://doi.org/10.1016/j.epsl.2007.04.040
md01-2414,53.1962,149.58,1123,0.264999986,uk,3.586910099,6.286996799,9.019897819,,NaN,https://doi.org/10.1029/2018PA003388
tr163-22,0.515,-92.398,2830,0.859250009,uk,21.25302157,24.21149359,28.20979897,,NaN,https://doi.org/10.1029/2009PA001781
md02-2529,8.2055,-84.122,1619,0.950705945,uk,24.21171369,28.04521634,33.91452222,,NaN,https://doi.org/10.1038/nature05578
md03-2607,-36.9607,137.4065,865,0.633555532,uk,14.38219952,17.18774703,19.99107586,,NaN,https://doi.org/10.1002/palo.20035
md95-2015,58.7623,-25.959,2630,0.41960004,uk,8.105761031,10.80558378,13.58222217,,NaN,https://doi.org/10.1016/S0277-3791(01)00105-6
gik23258-2,74.998083,13.968533,1768,0.355004519,uk,6.210912849,8.934856082,11.67813931,,NaN,https://doi.org/10.1016/S0146-6380(03)00084-6
pc6,40.4,143.5,2215,0.5825001,uk,12.89176668,15.65326884,18.42179798,,NaN,https://doi.org/10.1016/j.palaeo.2007.06.022
md97-2120,-45.534,174.9308,1210,0.406999975,uk,7.697867121,10.44204829,13.21938567,,NaN,https://doi.org/10.1126/science.1084451
md97-2121,-40.38,177.99,3014,0.609857142,uk,13.67456935,16.46727308,19.28059278,,NaN,https://doi.org/10.1126/science.1084451
gik17940-2,20.11666667,117.3833333,1727,0.924250007,uk,23.35477063,26.80332286,32.25637498,,NaN,https://doi.org/10.1029/1998PA900015
gik17964-2,6.158333,112.213333,1556,0.958333433,uk,24.46433869,28.38477945,34.28701311,,NaN,https://doi.org/10.1029/1998PA900015
ew0408-85jc,59.55539,-144.15349,682,0.384534001,uk,7.091941952,9.781592225,12.53075243,,NaN,https://doi.org/10.1038/nature15753
lv29-114-3,49.375667,152.877933,1762,0.261312515,uk,3.455849519,6.186023471,8.881795896,,NaN,https://doi.org/10.1029/2012PA002292
sv04,74.957,13.899,1839,0.3649683,uk,6.496698733,9.213803047,11.98529809,,NaN,https://doi.org/10.1016/j.palaeo.2016.10.034
jr244-gc528,-53.013,-58.0405,598,0.307744712,uk,4.810935914,7.530696385,10.27552851,,NaN,https://doi.org/10.1073/pnas.1511252113
md03-2699,39.0367,-10.6605,1865,0.609588206,uk,13.66660609,16.46764145,19.27371196,,NaN,https://doi.org/10.1016/j.quascirev.2010.04.004
m35003-4,12.09,-61.243,1299,0.973499894,uk,25.00550529,29.12263137,35.10365853,,NaN,https://doi.org/10.1038/990069
ch07-98_ggc19,36.86667,-74.56667,1049,0.569255352,uk,12.44250398,15.25960488,18.04924244,,NaN,https://doi.org/10.1029/2006GL028495
oce326-ggc26,43.4833,-54.8664,3975,0.367225826,uk,6.561098624,9.265971586,12.021128,,NaN,https://doi.org/10.1029/2006GL028495
oce326-ggc30,43.8853,-62.7953,240,0.375990242,uk,6.834013974,9.539581075,12.2716111,,NaN,https://doi.org/10.1029/2006GL028495
m135-004-3,-17.40996667,-71.74026667,229,0.762115896,uk,18.26121946,21.06434462,23.96863291,,NaN,https://doi.org/10.1029/2018gl080634
m135-005-3,-17.42046667,-71.76898333,197,0.763312519,uk,18.27952908,21.08736923,24.00814009,,NaN,https://doi.org/10.1029/2018gl080634
m77_2_003-2,-15.1035,-75.688,271,0.747652233,uk,17.80453845,20.62901943,23.49877966,,NaN,https://doi.org/10.1029/2018gl080634
m77_2_024-5,-11.0835,-78.0152,210,0.796999931,uk,19.31371174,22.13036005,25.16359352,,NaN,https://doi.org/10.1029/2018gl080634
m77_2_029-3,-9.295,-79.6185,433,0.772249997,uk,18.52100026,21.35427783,24.32073551,,NaN,https://doi.org/10.1029/2018gl080634
kt92-17_st14,31.9,137.8,3252,0.809749961,uk,19.72308531,22.54659497,25.76253361,,NaN,https://doi.org/10.1038/33391
geob6518-1,-5.5883,11.2217,962,0.860434711,uk,21.26175314,24.26703011,28.26899515,,NaN,https://doi.org/10.1038/nature03945
odp_167-1017e,34.535,-121.107,955,0.563668609,uk,12.29741199,15.0995353,17.87102705,,NaN,https://doi.org/10.1029/2002GL015200
md97-2146,20.117,117.384,1720,0.94213897,uk,24.03182417,27.68507284,33.47354525,,NaN,https://doi.org/10.1016/j.jseaes.2010.09.013
md94-103,-45.583333,86.516667,3560,0.311226696,uk,4.904130554,7.645139085,10.35932059,,NaN,https://doi.org/10.1016/j.epsl.2005.09.032
p178-15p,11.955,44.3,869,0.968579054,uk,24.85363436,28.88278031,34.96633732,,NaN,https://doi.org/10.1038/ngeo2603
oc437-07_gc27,30.87983,-10.51466,1258,0.682428658,uk,15.8577625,18.64025336,21.43011703,,NaN,https://doi.org/10.1126/sciadv.1601503
oc437-07_gc37,26.81595,-15.44693,2771,0.724875033,uk,17.08265571,19.9119158,22.7663318,,NaN,https://doi.org/10.1126/sciadv.1601503
oc437-07_gc49,23.20617,-17.38677,2303,0.736142814,uk,17.46033374,20.26773901,23.11457627,,NaN,https://doi.org/10.1126/sciadv.1601503
oc437-07_gc68,19.363,-17.32272,1396,0.749343097,uk,17.84290018,20.67999889,23.53158568,,NaN,https://doi.org/10.1126/sciadv.1601503
odp_176-1014,32.8332,-119.981,1165,0.575333297,uk,12.66384138,15.43633105,18.20702623,,NaN,https://doi.org/10.1016/j.quascirev.2006.07.014
md97-2151,8.728,109.869,1598,0.946490884,uk,24.07570744,27.83200705,33.6063688,,NaN,https://doi.org/10.5194/cp-9-2777-2013
odp108-658c,20.749,-18.5808,2273,0.736418545,uk,17.46249855,20.27275367,23.10846793,,NaN,https://doi.org/10.1029/94PA03354
PS2489-4,-42.883,8.968,3795,0.432,uk,8.428787852,11.17883305,13.97767653,,NaN,http://dx.doi.org/10.1029/93pa02198
PS75/034-1,-54.369,-80.09,4450,0.256,uk,3.297117292,6.012683648,8.747237301,,NaN,http://dx.doi.org/10.1029/2012PA002317
KNR-195-5-MC42-D,-1.253,-89.686,615,0.862,uk,21.31747653,24.30743111,28.35586716,,NaN,http://dx.doi.org/10.1029/2011pa002254
KNR-195-5-MC34-E,-3.598,-83.963,3224,0.788,uk,19.05953424,21.86092719,24.86134049,,NaN,http://dx.doi.org/10.1029/2011pa002254
MD01-2443,37.881,-10.176,2925,0.621,uk,14.0176325,16.79733323,19.63311067,,NaN,http://dx.doi.org/10.1016/j.quascirev.2010.01.004
OCE-437 MC-04E ,37.837,-10.184,3146,0.633,uk,14.38161066,17.17678819,19.98119091,,NaN,https://doi.org/10.1002/2017PA003201
NB77,45.97,175,5317,0.387,uk,7.107573096,9.855835716,12.62310361,,NaN,http://dx.doi.org/10.1029/2005GC001054
GIK17961-1,8.507,112.332,1795,0.956,uk,24.45190517,28.27689363,34.09644362,,NaN,http://dx.doi.org/10.1029/2005GC001054
ME0005A-21MC4,0.012,-86.463,2942,0.915,uk,23.04764525,26.4134698,31.73436833,,NaN,http://dx.doi.org/10.1029/2011pa002254
KNR-195-5-MC11-E,-1.533,-86.785,2288,0.84,uk,20.60155362,23.52441961,27.13896251,,NaN,http://dx.doi.org/10.1029/2011pa002254
AII-125-8 GGC-53 ,27.62,-111.93,1442,0.891,uk,22.27188157,25.41293,30.17903044,,NaN,https://doi.org/10.1002/2017PA003201
RR9702A-34MC1,-36.533,-73.447,133,0.479,uk,9.829819751,12.56376473,15.36015577,,NaN,http://dx.doi.org/10.1016/j.gca.2005.08.023
GIK17962-1,7.182,112.082,1970,0.956,uk,24.45851918,28.26103493,34.13105239,,NaN,http://dx.doi.org/10.1029/2005GC001054
W8709A-06BC,42.253,-127.638,2914,0.454,uk,9.107374632,11.82780058,14.62605014,,NaN,http://dx.doi.org/10.1029/2005GC001054
RR9702A-44MC2,-35.758,-73.013,172,0.488,uk,10.0862086,12.85553575,15.62981941,,NaN,http://dx.doi.org/10.1016/j.gca.2005.08.023
SO213-079-1,-45.51,179.34,3143,0.443,uk,8.781319596,11.50723891,14.27524451,,NaN,http://dx.doi.org/10.1016/j.gca.2017.01.045
GIK17963-2,6.167,112.667,1233,0.963,uk,24.67241192,28.62319608,34.59325133,,NaN,http://dx.doi.org/10.1029/2005GC001054
F2-92-P1,35.13,-122.13,1325,0.515,uk,10.85809409,13.64388534,16.41046807,,NaN,http://dx.doi.org/10.1029/98PA00069
BOFS19/3M,41.11,-20.754,-999,0.534,uk,11.42505006,14.201114,17.00441778,,NaN,http://dx.doi.org/10.1029/2005GC001054
BOFS30/1M,19.67,-20.674,-999,0.819,uk,19.95509946,22.83558179,26.11926795,,NaN,http://dx.doi.org/10.1029/2005GC001054
BOFS31K/1K,18.998,-20.162,3300,0.735,uk,17.39631608,20.23200942,23.06325191,,NaN,http://dx.doi.org/10.1029/2005GC001054
BOFS5K,50.687,-21.863,3547,0.542,uk,11.65845347,14.45113384,17.27078739,,NaN,https://doi.org/10.1594/PANGAEA.103070
BS79-38,38.412,13.577,1489,0.602,uk,13.43371502,16.23736987,19.06041188,,NaN,http://dx.doi.org/10.1016/j.quascirev.2010.01.004
CH84-04,36.46,142.14,2630,0.638,uk,14.54402769,17.3133886,20.09609574,,NaN,https://doi.org/10.1594/PANGAEA.103070
CH84-14,41.44,142.34,978,0.589,uk,13.10042534,15.85392413,18.64017309,,NaN,https://doi.org/10.1594/PANGAEA.103070
CHAT1K,-41.58,-171.5,3556,0.539,uk,11.61692898,14.35276598,17.14629218,,NaN,https://doi.org/10.1594/PANGAEA.103070
Core 934,48.54,150.68,2195,0.374,uk,6.782777319,9.485221462,12.20604846,,NaN,https://doi.org/10.1594/PANGAEA.103070
DSDP 619,27.19,-91.41,2259,0.856,uk,21.15339506,24.10032406,28.03792338,,NaN,https://doi.org/10.1016/0016-7037(93)90477-E
F2-92-P3,35.623,-121.438,799,0.522,uk,11.08817821,13.85763367,16.67447161,,NaN,http://dx.doi.org/10.1029/2005GC001054
F2-92-P34,35.031,-121.226,610,0.52,uk,11.06355123,13.76467497,16.55669307,,NaN,http://dx.doi.org/10.1029/2005GC001054
Fr2-96 GC27,-18.57,116.27,1024,0.945,uk,24.07678278,27.77578368,33.5131549,,NaN,https://doi.org/10.1594/PANGAEA.103070
Fr10-95 GC20,-24.75,111.83,841,0.876,uk,21.80193854,24.83956434,29.35906705,,NaN,https://doi.org/10.1594/PANGAEA.103070
GeoB10068-2,-9.596,121.152,2010,0.986,uk,25.44433026,29.67710276,35.84587275,,NaN,http://dx.doi.org/10.1029/2011PA002132
Fr10-95 GC17,-22.13,113.5,1093,0.876,uk,21.80126056,24.8180163,29.25561442,,NaN,https://doi.org/10.1594/PANGAEA.103070
Fr10-95 GC25,-28.73,113.37,1010,0.869,uk,21.58505511,24.59778553,28.94482713,,NaN,https://doi.org/10.1594/PANGAEA.103070
Fr10-95 GC29,-31,114.58,1220,0.836,uk,20.53036223,23.39771932,26.94315731,,NaN,https://doi.org/10.1594/PANGAEA.103070
GeoB1008-6,-6.593,10.318,3100,0.905,uk,22.74577287,25.98165569,31.08638288,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB1016-2,-11.587,11.697,3410,0.879,uk,21.89311022,24.92898806,29.48948744,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB1028-4,-20.1,9.178,2215,0.738,uk,17.50092304,20.32809042,23.19771265,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB1032-2,-22.913,6.027,2499,0.779,uk,18.75675671,21.56661394,24.53469319,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB1041-1,-3.48,-7.592,4035,0.926,uk,23.46363189,26.93819226,32.51770863,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB1105-3,-1.665,-12.428,3232,0.912,uk,22.91268741,26.28059663,31.52887181,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB1117-3,-3.817,-14.903,3977,0.93,uk,23.57507196,27.09739788,32.62645012,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB1401-1,-6.928,8.998,3591,0.907,uk,22.84172353,26.08044534,31.35012558,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB1706-1,-19.562,11.175,980,0.655,uk,15.02537358,17.83275298,20.6043136,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB1710-2,-23.43,11.703,2983,0.683,uk,15.85075495,18.66245515,21.4983632,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB1712-2,-23.255,12.803,1007,0.658,uk,15.09180005,17.90745399,20.71201561,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB1722-3,-29.448,11.75,3971,0.689,uk,16.00994588,18.83979229,21.65675764,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB2107-5,-27.18,-46.4567,1052,0.845,uk,20.80669544,23.72507615,27.45515374,,NaN,http://dx.doi.org/10.1029/2005GC001054
GeoB2109-3,-27.9117,-45.87,2513,0.853,uk,21.07279488,23.99097092,27.87891755,,NaN,http://dx.doi.org/10.1029/2005GC001054
GeoB2125-2,-20.82,-39.8567,1542,0.896,uk,22.4095886,25.6153415,30.6347832,,NaN,http://dx.doi.org/10.1029/2005GC001054
GeoB2303-1,-5.19,10.37,2491,0.86,uk,21.2673369,24.23873992,28.32978501,,NaN,http://dx.doi.org/10.1029/93pa02198
GeoB3005-3,14.97,54.37,2314,0.938,uk,23.81175971,27.43608843,33.14816524,,NaN,http://dx.doi.org/10.1029/2005GC001054
GeoB3007-3,16.17,59.772,1914,0.95,uk,24.22786822,27.98386757,33.89689954,,NaN,http://dx.doi.org/10.1029/2005GC001054
GeoB2010-1,-32.86,10.29,5049,0.692,uk,16.17143269,18.94750868,21.78453989,,NaN,http://dx.doi.org/10.1029/93pa02198
GIK16969-1,9.058,-85.625,3387,0.948,uk,24.13862296,27.92096358,33.79895471,,NaN,https://doi.org/10.1594/PANGAEA.103070
KH92-1-5cBX,3.53,141.87,2282,0.964,uk,24.73410161,28.63887491,34.59958241,,NaN,https://doi.org/10.1029/94GL01991
TSP-2MC,-48.127,146.9,2283,0.448,uk,8.918834853,11.66253447,14.43414269,,NaN,http://dx.doi.org/10.1029/2005GC001054
KNR-176-2-MC33-F,4.667,-77.963,2202,0.954,uk,24.35731822,28.19855371,34.0066662,,NaN,http://dx.doi.org/10.1029/2011pa002254
KS8230,36.453,-3.886,795,0.618,uk,13.96049158,16.70792054,19.5265782,,NaN,http://dx.doi.org/10.1016/s0031-0182(00)00053-5
KT94-15 PC-9,39.5727,139.4068,807,0.589,uk,13.08263309,15.86088289,18.64273673,,NaN,https://doi.org/10.1016/S0146-6380(00)00151-0
L13-81-G138,38.41,-123.97,2531,0.479,uk,9.812390236,12.58641493,15.36045927,,NaN,http://dx.doi.org/10.1029/2005GC001054
LPAZ21P,22.99,-109.49,624,0.889,uk,22.21429108,25.34050276,30.16988938,,NaN,http://dx.doi.org/10.1126/science.1059209
GIK16415-1,9.57,-19.107,3841,0.899,uk,22.52836009,25.73985717,30.75042297,,NaN,http://dx.doi.org/10.1029/2005GC001054
GIK16772-1,-1.34,-11.973,3911,0.926,uk,23.4472633,26.86241121,32.21798485,,NaN,https://doi.org/10.1594/PANGAEA.103070
GIK16776-1,3.735,-11.3983,4242,0.926,uk,23.44570162,26.88348947,32.4093006,,NaN,https://doi.org/10.1594/PANGAEA.103070
GIK17045-3,52.425,-16.665,3663,0.559,uk,12.16963507,14.94926215,17.74335387,,NaN,https://doi.org/10.1594/PANGAEA.103070
GIK17049-6,55.2,-26.72,3331,0.476,uk,9.733121343,12.49689724,15.23578218,,NaN,http://dx.doi.org/10.1002/2015GC006106
GIK23415-9,53.178,-19.145,2472,0.546,uk,11.80240512,14.56209519,17.30976383,,NaN,https://doi.org/10.1594/PANGAEA.103070
M40/4_SL67,34.808,27.287,2158,0.529,uk,11.30157245,14.0499685,16.84209268,,NaN,https://doi.org/10.1191/0959683603hl622ed
M40/4_SL71,34.806,23.186,2788,0.562,uk,12.26596674,15.03209961,17.829584,,NaN,https://doi.org/10.1191/0959683603hl622ed
M40/4_SL78,37.0367,13.1897,467,0.569,uk,12.5089534,15.25476825,18.04464006,,NaN,http://dx.doi.org/10.1016/j.quascirev.2010.01.004
M40/4_SL87,38.989,4.023,1913,0.562,uk,12.2543257,15.05315767,17.80960492,,NaN,http://dx.doi.org/10.1016/j.quascirev.2010.01.004
MD76-131,15.883,72.567,1230,0.972,uk,24.97467851,29.03406782,35.14241558,,NaN,http://dx.doi.org/10.1029/2005GC001054
MD76-135,14.443,50.53,1895,0.925,uk,23.38126113,26.85625039,32.39739939,,NaN,http://dx.doi.org/10.1029/2005GC001054
MD77-169,10.217,95.05,2360,0.971,uk,24.91941173,28.99021744,35.03571703,,NaN,http://dx.doi.org/10.1029/2005GC001054
MD77-176,14.517,93.133,1375,0.96,uk,24.5422917,28.45537409,34.37592507,,NaN,http://dx.doi.org/10.1029/2005GC001054
MD77-179,18.367,91.017,1986,0.947,uk,24.13114831,27.848355,33.60203962,,NaN,http://dx.doi.org/10.1029/2005GC001054
SO93-126KL,19.973,90.034,1253,0.957,uk,24.45601493,28.32519433,34.23519574,,NaN,http://dx.doi.org/10.1016/j.quascirev.2010.01.004
MD77-191,7.502,76.717,1254,0.975,uk,25.09187255,29.18014962,35.2546685,,NaN,http://dx.doi.org/10.1029/2005GC001054
MD77-194,10.467,75.233,1222,0.974,uk,25.06286463,29.09073742,35.11195208,,NaN,http://dx.doi.org/10.1029/2005GC001054
MD77-195,11.5,74.367,1420,0.968,uk,24.81855939,28.84448024,34.91207199,,NaN,http://dx.doi.org/10.1029/2005GC001054
MD77-202,19.222,60.682,2427,0.924,uk,23.36083711,26.79784259,32.25546659,,NaN,http://dx.doi.org/10.1029/2005GC001054
MD77-203,20.698,59.568,2442,0.897,uk,22.49931626,25.69643467,30.61950492,,NaN,http://dx.doi.org/10.1029/2005GC001054
MD79-254,-17.883,38.667,1934,0.931,uk,23.60557485,27.13091477,32.67721392,,NaN,http://dx.doi.org/10.1029/2005GC001054
64PE304-68,-16.5,40.03,756,0.951,uk,24.23734686,28.05193881,33.82453957,,NaN,http://dx.doi.org/10.1016/j.dsr.2011.10.002
MD85-668,-0.017,46.038,4020,0.946,uk,24.05797276,27.79642549,33.57840631,,NaN,http://dx.doi.org/10.1029/2005GC001054
MD85-674,3.187,50.445,4875,0.945,uk,24.05660052,27.76034312,33.39277062,,NaN,http://dx.doi.org/10.1029/2005GC001054
MD90-960,5.082,73.783,1906,0.953,uk,24.27472472,28.12441395,34.10413569,,NaN,http://dx.doi.org/10.1029/2005GC001054
KNR-197-10 MC7A,37.091,-31.934,2130,0.682,uk,15.83094914,18.64111736,21.45376601,,NaN,https://doi.org/10.1002/2017PA003201
MD96-2077,-33.168,31.246,3781,0.869,uk,21.52108504,24.55728665,28.81447719,,NaN,https://doi.org/10.1594/PANGAEA.103070
ODP 1018,36.989433,-123.2755,2477,0.503,uk,10.57307696,13.30296756,16.07662472,,NaN,https://doi.org/10.1029/2009PA001836
W8709A-13TC,42.117,-125.75,2712,0.416,uk,7.985599768,10.71985189,13.48749162,,NaN,http://dx.doi.org/10.1029/2005GC001054
GeoB1403-2,-1.198,-11.712,3692,0.886,uk,22.05415254,25.22401622,30.06243404,,NaN,http://dx.doi.org/10.1029/93pa02198
TN-47 MC3A,16.614,59.806,1986,0.951,uk,24.28828511,28.05341091,33.85466606,,NaN,https://doi.org/10.1002/2017PA003201
ODP 723,18.05,57.6,808,0.929,uk,23.52816656,27.03024584,32.58294527,,NaN,http://dx.doi.org/10.1029/2005GC001054
ODP 846,-3.095,-90.818,3296,0.803,uk,19.4716065,22.3006211,25.42375331,,NaN,http://dx.doi.org/10.1038/nature02338
HY06,0.017,-95.433,3242,0.855,uk,21.088812,24.05592456,27.96332337,,NaN,http://dx.doi.org/10.1029/2006gl025948
ODP 893B,34.288,-120.036,588,0.563,uk,12.32387674,15.07819574,17.86738374,,NaN,http://dx.doi.org/10.1029/98PA00069
ODP 967D,34.071,32.726,2551,0.655,uk,15.01314447,17.8298463,20.63892459,,NaN,http://dx.doi.org/10.1016/j.quascirev.2010.01.004
ODP 977,36.032,-1.955,1984,0.644,uk,14.68391076,17.49963584,20.31415498,,NaN,http://dx.doi.org/10.1016/j.quascirev.2010.01.004
ODP 1012,32.28,-118.38,1772,0.603,uk,13.45911489,16.26344005,19.06530315,,NaN,http://dx.doi.org/10.1029/2005GC001054
W8809A-21GC,41.14,-126.907,2799,0.382,uk,6.978037997,9.709275779,12.47459206,,NaN,http://dx.doi.org/10.1029/2005GC001054
GIK17960-1,10.12,115.558,1707,0.966,uk,24.79916793,28.74272586,34.68654359,,NaN,http://dx.doi.org/10.1029/2005GC001054
GIK17934-1,19.032,116.462,2665,0.918,uk,23.18273213,26.54944169,31.92977379,,NaN,http://dx.doi.org/10.1029/2005GC001054
